"","code","P1","P2","P3","P4"
"1","sujeto_0000621",32,30,32,32
"2","sujeto_0005719",6,31,32,31
"3","sujeto_0006562",27,31,31,31
"4","sujeto_0012643",32,32,32,32
"5","sujeto_0014011",15,32,32,32
"6","sujeto_0014895",1,28,30,32
"7","sujeto_0016883",28,32,32,32
"8","sujeto_0020285",9,18,28,31
"9","sujeto_0020703",10,31,32,32
"10","sujeto_0020974",32,31,32,32
"11","sujeto_0025043",17,16,23,30
"12","sujeto_0025948",10,16,19,22
"13","sujeto_0026622",19,29,29,29
"14","sujeto_0027033",32,32,32,32
"15","sujeto_0027042",23,26,28,28
"16","sujeto_0027510",20,23,27,28
"17","sujeto_0028207",23,27,25,29
"18","sujeto_0030383",29,29,29,29
"19","sujeto_0030459",31,32,32,32
"20","sujeto_0031826",4,16,24,28
"21","sujeto_0032413",9,20,23,28
"22","sujeto_0033050",14,32,32,32
"23","sujeto_0034539",26,28,28,26
"24","sujeto_0036567",16,32,31,31
"25","sujeto_0040017",27,29,27,28
"26","sujeto_0040081",32,32,32,32
"27","sujeto_0048205",5,32,32,32
"28","sujeto_0048533",31,32,31,32
"29","sujeto_0049193",21,17,22,24
"30","sujeto_0050473",32,32,32,32
"31","sujeto_0051018",22,29,30,31
"32","sujeto_0053568",19,32,32,32
"33","sujeto_0058378",32,32,32,32
"34","sujeto_005868",4,26,32,32
"35","sujeto_0065422",31,32,32,31
"36","sujeto_0066360",31,32,32,32
"37","sujeto_0067839",12,18,29,28
"38","sujeto_0068071",2,31,32,31
"39","sujeto_0068784",21,29,31,31
"40","sujeto_0071765",9,14,25,29
"41","sujeto_0073050",31,31,32,30
"42","sujeto_0073105",NA,31,29,31
"43","sujeto_0073942",25,31,27,26
"44","sujeto_0074431",5,31,32,31
"45","sujeto_02de544a",14,23,30,32
"46","sujeto_06da9741",15,30,32,31
"47","sujeto_07280530",32,32,32,31
"48","sujeto_077f2b56",32,31,32,32
"49","sujeto_0bf947ec",31,32,32,32
"50","sujeto_0d6a2bd1",1,1,NA,NA
"51","sujeto_11124bad",32,32,32,32
"52","sujeto_151573d2",21,24,31,32
"53","sujeto_18c10e9c",15,22,30,30
"54","sujeto_1bb5ad4b",30,30,28,29
"55","sujeto_1d9a94b2",32,32,32,32
"56","sujeto_1fe7250f",16,30,29,28
"57","sujeto_2158631b",32,32,32,32
"58","sujeto_225a39e1",32,30,31,32
"59","sujeto_2608c5d2",7,31,31,32
"60","sujeto_2736348d",32,30,32,31
"61","sujeto_282108e8",14,27,32,32
"62","sujeto_2a9aaa08",19,18,18,18
"63","sujeto_2c6c72ad",32,32,32,32
"64","sujeto_2cd1c0e6",28,31,30,29
"65","sujeto_33dcff34",32,32,31,30
"66","sujeto_39b35dcb",32,32,31,32
"67","sujeto_3e78614c",3,32,31,32
"68","sujeto_4517150c",32,31,30,31
"69","sujeto_46315dbc",5,20,29,27
"70","sujeto_4ca6cef4",6,21,31,31
"71","sujeto_4e042fb0",32,30,32,32
"72","sujeto_5061298e",32,31,32,31
"73","sujeto_529b55b0",32,32,32,31
"74","sujeto_52c54ab9",32,30,32,30
"75","sujeto_587bbcbb",9,19,24,31
"76","sujeto_5fc6b519",19,30,32,32
"77","sujeto_61b0c637",26,29,30,30
"78","sujeto_63c82dc6",31,30,29,31
"79","sujeto_6462fbbc",25,31,31,32
"80","sujeto_66362819",29,32,31,32
"81","sujeto_665d6eab",3,22,32,32
"82","sujeto_685cae59",19,20,25,29
"83","sujeto_6fce57c3",21,23,25,26
"84","sujeto_725769f0",7,23,31,31
"85","sujeto_72b8e12c",31,32,32,32
"86","sujeto_774f4a36",2,31,31,32
"87","sujeto_7b0e6648",23,29,28,30
"88","sujeto_7e1d6f1a",20,20,30,29
"89","sujeto_80f4d7da",25,30,30,32
"90","sujeto_85db03a2",31,30,30,30
"91","sujeto_8e872371",15,17,18,23
"92","sujeto_96083b42",29,31,30,31
"93","sujeto_9ae17e76",26,30,28,30
"94","sujeto_9d0bd287",32,32,31,32
"95","sujeto_a90bad1a",6,13,25,29
"96","sujeto_acaff5ce",28,28,29,28
"97","sujeto_b3dd3930",32,31,32,31
"98","sujeto_b7fbb303",6,18,32,31
"99","sujeto_c28223ba",24,24,29,28
"100","sujeto_c36569e9",15,18,24,28
"101","sujeto_c3d9e000",6,22,31,30
"102","sujeto_c730bc55",15,22,31,32
"103","sujeto_c9ac0c57",32,32,31,32
"104","sujeto_cfeb32c5",31,32,32,32
"105","sujeto_d72d8a7c",6,31,32,32
"106","sujeto_dabe6acb",11,20,29,32
"107","sujeto_dcc3c5a9",21,26,23,23
"108","sujeto_dccc88fd",7,29,31,32
"109","sujeto_e1314c94",32,32,32,32
"110","sujeto_e29aeec5",32,32,30,32
"111","sujeto_e844afe8",31,31,31,31
"112","sujeto_e9306fb7",29,32,29,29
"113","sujeto_e97cf70e",31,32,32,32
"114","sujeto_eafb7359",4,16,22,24
"115","sujeto_efe9883f",32,31,32,32
"116","sujeto_fddffe87",3,32,32,32
