"variable_x","variable_y","r","p_valor","n","metodo"
"Feliz","PCA",-0.0128209440957004,0.887610925554325,124,"pearson"
"Feliz","BECK_SESION",0.0490478273906449,0.588529800445177,124,"pearson"
"Enojada","PCA",0.221932203339098,0.0132388531038607,124,"pearson"
"Enojada","BECK_SESION",0.235944152825048,0.00833696988654797,124,"pearson"
"Nerviosa","PCA",0.554390491092892,2.38712628408614e-11,124,"pearson"
"Nerviosa","BECK_SESION",0.489847708098624,7.73896144514119e-09,124,"pearson"
"Triste","PCA",0.199880987366045,0.0260309706612011,124,"pearson"
"Triste","BECK_SESION",0.21685225066988,0.0155560324106731,124,"pearson"
"Culpable","PCA",0.232821539638466,0.00926288563697819,124,"pearson"
"Culpable","BECK_SESION",0.153592868981566,0.0885423610572876,124,"pearson"
"Avergonzada","PCA",0.543347548877497,7.01157301347757e-11,124,"pearson"
"Avergonzada","BECK_SESION",0.496036911728182,4.67748184429386e-09,124,"pearson"
"Decepcionada","PCA",0.230191944787995,0.0101117149249177,124,"pearson"
"Decepcionada","BECK_SESION",0.201504270090684,0.0248192918334844,124,"pearson"
"Aliviada","PCA",-0.130687212566204,0.147968315821636,124,"pearson"
"Aliviada","BECK_SESION",-0.117618820701963,0.19325712436536,124,"pearson"
